model,train_score,test_score
Logistic Regression,0.6586994771662494,0.6569372351362873
Bagging meta-estimator,0.9709578598504637,0.6574387522254821
AdaBoost,0.6728673941481069,0.6723588856290278
XGBoost,0.6803734646199111,0.6795180420772838
Decision Tree,0.9917291127707681,0.6241505554301763
Random Forest,0.9917165747911382,0.6740013540961408
