model,train_score,test_score
Logistic Regression,0.6587287324520527,0.656962310990747
Bagging meta-estimator,0.9708324800541641,0.6608239925775471
AdaBoost,0.6728673941481069,0.6723588856290278
XGBoost,0.6803734646199111,0.6795180420772838
Decision Tree,0.9917291127707681,0.6229719902705685
Random Forest,0.9917123954645949,0.6747285538754733
