0.855,down
0.0397,score_differential
0.0341,ydstogo
0.012,posteam_timeouts_remaining
0.001,precipitation
0.001,temperature
0.001,defteam_timeouts_remaining
0.001,qtr
0,humidity
0,yardline_100
0,windspeed
0,snow
0,visibility
